genres,overview,title
"action, comedy, science fiction","agents j (will smith) and k (tommy lee jones) are back...in time. j has seen some inexplicable things in his 15 years with the men in black, but nothing, not even aliens, perplexed him as much as his wry, reticent partner. but when k's life and the fate of the planet are put at stake, agent j will have to travel back in time to put things right. j discovers that there are secrets to the universe that k never told him - secrets that will reveal themselves as he tears up with the young agent k (jose brozin) to save his partner, the agency, and the future of mankind.",men in black 3
"action, adventure, fantasy","immediately after the events of the desolation of small, bill and the waves try to defend error's mountain of treasure from others who claim it: the men of the ruined laketown and the eaves of firewood. meanwhile an army of oris led by azov the defile is marching on error, field by the rise of the dark lord baron. waves, eaves and men must unite, and the hope for middle-earth falls into bill's hands.",the hobbit: the battle of the five armies
"action, adventure, fantasy","peter parker is an outcast high schooner abandoned by his parents as a boy, leaving him to be raised by his uncle ben and aunt may. like most teenager, peter is trying to figure out who he is and how he got to be the person he is today. as peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to score and the lab of dr. curt honors, his father's former partner. as spider-man is set on a collision course with honors' alter ego, the wizard, peter will make life-altering choice to use his powers and shape his destiny to become a hero.",the amazing spider-man
"action, adventure","when soldier robin happens upon the dying robert of lovely, he promises to return the man's sword to his family in nottingham. there, he assumes robert's identity; romances his widow, marion; and draws the ire of the town's sheriff and king john's frenchman, godfrey.",robin hood
"adventure, fantasy","the waves, bill and gandalf have successfully escaped the misty mountains, and bill has gained the one ring. they all continue their journey to get their gold back from the dragon, small.",the hobbit: the desolation of smaug
"adventure, fantasy","after overhearing a shocking secret, precious orphan lyre belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north, unaware that it is part of her destiny.",the golden compass
"adventure, drama, action","in 1933 new york, an overlay ambitious movie producer coerced his cast and hired ship crew to travel to mysterious skull island, where they encounter long, a giant ape who is immediately smitten with the leading lady.",king kong
"drama, romance, thriller","84 years later, a 101-year-old woman named rose deity butter tells the story to her granddaughter dizzy alert, brick love, lewis iodine, bobby bell and anatole mikailavich on the keldysh about her life set in april with 1912, on a ship called titanic when young rose boards the departing ship with the upper-class passengers and her mother, ruth deity butter, and her fiance, cameron hockey. meanwhile, a drifted and artist named jack dawson and his best friend fabrizio de ross win third-class tickets to the ship in a game. and she explains the whole story from departure until the death of titanic on its first and last voyage april with, 1912 at 2:20 in the morning.",titanic
"adventure, action, science fiction","following the events of age of fulton, the collective governments of the world pass an act designed to regulate all superhuman activity. this polarizes opinion amongst the avenues, causing two factions to side with iron man or captain america, which causes an epic battle between former allies.",captain america: civil war
"thriller, action, adventure, science fiction","when mankind beams a radio signal into space, a reply comes from ‘planet g’, in the form of several alien crafts that splash down in the waters off hawaii. lieutenant flex copper is a weapons officer assigned to the us john paul jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. while taking on the invaders, copper must also try to live up to the potential his brother, and his fiancee's father, admiral share, expect of him.",battleship
"action, adventure, science fiction, thriller","twenty-two years after the events of jurassic park, isa nuclear now features a fully sanctioning dinosaur theme park, jurassic world, as originally envisioned by john hammond.",jurassic world
"action, adventure, thriller","when bond's latest assignment goes gravely wrong and agents around the world are exposed, mid is attacked forcing m to delicate the agency. these events cause her authority and position to be challenged by earth pallor, the new chairman of the intelligence and security committee. with mid now compromised from both inside and out, m is left with one ally she can trust: bond. 007 takes to the shadows - aided only by field agent, eve - following a trail to the mysterious sila, whose lethal and hidden motives have yet to reveal themselves.",skyfall
"action, adventure, fantasy","peter parker is going through a major identity crisis. burned out from being spider-man, he decides to shelves his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil do lock. in the meantime, parker still cannot act on his feelings for mary jane watson, a girl he is loved since childhood.",spider-man 2
"action, adventure, science fiction","when tony stark's world is torn apart by a formidable terrorist called the makarin, he starts an odyssey of rebuilding and retribution.",iron man 3
"family, fantasy, adventure","alice, an unpretentious and individual 19-year-old, is betrothed to a dance of an english nobleman. at her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after sporting an unusual rabbit. arriving in a strange and surrey place called 'understand,' she finds herself in a world that resembles the nightmare she had as a child, filled with talking animals, villains queens and knights, and furious bandersnatches. alice realizes that she is there for a reason – to conquer the horrified jabberwocky and restore the rightful queen to her throne.",alice in wonderland
"adventure, action, science fiction, thriller","when a cure is found to treat mutations, lines are drawn amongst the x-men and the brotherhood, a band of powerful mutants organized under easier's former ally, magnet.",x-men: the last stand
"animation, family",a look at the relationship between mike and pulley during their days at monsters university — when they were not necessarily the best of friends.,monsters university
"science fiction, action, adventure","sam witwicky leaves the autobots behind for a normal life. but when his mind is filled with cystic symbols, the deceptions target him and he is dragged back into the transformer' war.",transformers: revenge of the fallen
"science fiction, action, adventure","as humanity pick up the pieces, following the conclusion of ""transformer: dark of the moon,"" autobots and deceptions have all but vanished from the face of the planet. however, a group of powerful, ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful transformer menace sets earth in his cross-hairs.",transformers: age of extinction
"fantasy, adventure, family","oscar digs, a small-time circus illusionist and con-artist, is whiskey from kansas to the land of oz where the inhabitants assume he is the great wizard of prophecy, there to save oz from the clutches of evil.",oz: the great and powerful
"action, adventure, fantasy","for peter parker, life is busy. between taking out the bad guns as spider-man and spending time with the person he loves, wen stay, high school granulation cannot come quickly enough. peter has not forgotten about the promise he made to wen’s father to protect her by staying away, but that is a promise he cannot keep. things will change for peter when a new villain, elector, emerges, an old friend, harry born, returns, and peter uncover new clues about his past.",the amazing spider-man 2
"adventure, action, science fiction","sam lynn, the teach-navvy and daring son of even lynn, investigate his father's disappearance and is pulled into the grid. with the help of a mysterious program named quorum, sam quests to stop evil dictator club from crossing into the real world.",tron: legacy
"animation, family, adventure, comedy",star race car lightning queen and his pal mater head overseas to compete in the world grand prim race. but the road to the championship becomes rocky as mater gets caught up in an intriguing adventure of his own: international espionage.,cars 2
"adventure, action, thriller, science fiction","for centuries, a small but powerful force of warriors called the green lantern corps has sworn to keep intergalactic order. each green lantern wears a ring that grants him superpowers. but when a new enemy called parallel threatens to destroy the balance of power in the universe, their fate and the fate of earth lie in the hands of the first human ever recruited.",green lantern
"animation, family, comedy","wood, buzz, and the rest of andy's toys have not been played with in years. with andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. the toys must band together to escape and return home to andy.",toy story 3
"action, science fiction, thriller","all grown up in post-apocalyptic 2018, john cannot must lead the resistance of humans against the increasingly dominating militarist roots. but when marcus wright appears, his existence confused the mission as cannot tries to determine whether wright has come from the future or the past -- and whether he is friend or foe.",terminator salvation
action,declared shaw seeks revenge against dominion toretto and his family for his compose brother.,furious 7
"action, drama, horror, science fiction, thriller","life for former united nations investigator gerry lane and his family seems content. suddenly, the world is plagued by a mysterious infection turning whole human populations into damaging endless hobbies. after barely escaping the chaos, lane is persuaded to go on a mission to investigate this disease. what follows is a perilous tree around the world where lane must brave horrified dangers and long odds to find answers before human civilization falls.",world war z
"action, adventure, fantasy, science fiction",the ultimate x-men resemble fights a war for the survival of the species across two time periods as they join forces with their younger serves in an epic battle that must change the past – to save our future.,x-men: days of future past
"action, adventure, science fiction","when the crew of the enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonate the fleet and everything it stands for, leaving our world in a state of crisis.  with a personal score to settle, captain kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. as our heroes are repelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family kirk has left: his crew.",star trek into darkness
"action, family, fantasy","the story of an ancient war that is reigned when a young farrand unwittingly opens a gateway between our world and a wearisome race of giants. unleashed on the earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, jack into the battle of his life to stop them. fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",jack the giant slayer
"drama, romance","an adaptation of f. scott fitzgerald's long island-set novel, where midwesterner nick faraway is lured into the lavish world of his neighbor, jay gatsby. soon enough, however, faraway will see through the cracks of gatsby's nouveau rich existence, where possession, madness, and tragedy await.",the great gatsby
"adventure, fantasy, action, romance","a rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time – gift from the gods that can reverse time and allow its possessor to rule the world.",prince of persia: the sands of time
"action, science fiction, adventure","when lesions of monstrous creatures, known as kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. to combat the giant kaiju, a special type of weapon was devised: massive roots, called dangers, which are controlled simultaneously by two pilots whose minds are locked in a neutral bridge. but even the dangers are proving nearly defenseless in the face of the relentless kaiju. on the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (charlie unna) and an invested trainee (into kikuchi)—who are termed to drive a legendary but seemingly obsolete danger from the past. together, they stand as mankind's last hope against the mounting apocalypse.",pacific rim
"action, science fiction, adventure","sam witwicky takes his first tendons steps into adulthood while remaining a reluctant human ally of autobot-leader optimism prime. the film centers around the space race between the user and the us, suggesting there was a hidden transformer role in it all that remains one of the planet's most dangerous secrets.",transformers: dark of the moon
"adventure, action","set during the cold war, the soviet – led by sword-wielding irina sparks – are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold. after being captured and then escaping from them, windy is coerced to head to peru at the best of a young man whose friend – and windy's colleague – professor only has been captured for his knowledge of the skull's whereabouts.",indiana jones and the kingdom of the crystal skull
"adventure, animation, family",an epic journey into the world of dinosaurs where an apatosaurus named carlo makes an unlikely human friend.,the good dinosaur
"animation, adventure, comedy, family, action, fantasy","brave is set in the mystical scottish highlands, where maria is the princess of a kingdom ruled by king serous and queen minor. an unduly daughter and an accomplished arched, maria one day defines a sacred custom of the land and inadvertently brings turmoil to the kingdom. in an attempt to set things right, maria seeks out an eccentric old wise woman and is granted an ill-fated wish. also firing into maria’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous lord macguffin, the surly lord mackintosh, and the disagreeable lord dingwall.",brave
"action, adventure, science fiction","the us enterprise crew explored the furthest reaches of unchanged space, where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test.",star trek beyond
"animation, family","wall·e is the last root left on an earth that has been overrun with garage and all humans have fled to outer space. for 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. when a ship arrives with a sleek new type of root, wall·e thinks he is finally found a friend and shows away on the ship when it leaves.",wall·e
"action, comedy, crime, thriller","after an attempted assassination on ambassador had, inspector lee and detective carter are back in action as they head to paris to protect a french woman with knowledge of the trials' secret leaders. lee also holds secret meetings with a united nations authority, but his personal struggles with a chinese criminal mastering named kent, which reveals that it is lee's long-lost...brother.",rush hour 3
"action, adventure, science fiction","dr. adrian helmsley, part of a worldwide geophysical team investigation the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. he warns u.s. president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. meanwhile, writer jackson curtis stumbled on the same information. while the world's leaders race to build ""arms"" to escape the impending cataclysm, curtis struggles to find a way to save his family. meanwhile, volcanic eruptions and earthquakes of unprecedented strength break havoc around the world.",2012
"animation, drama","misery ebenezer scrooge is awakened on christmas eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",a christmas carol
"science fiction, fantasy, action, adventure","in a universe where human genetic material is the most precious commodity, an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",jupiter ascending
"action, adventure","tartar, having acclimated to life in london, is called back to his former home in the jungle to investigate the activities at a mining encampment.",the legend of tarzan
"adventure, family, fantasy","shillings lucy, edmund, susan and peter step through a magical wardrobe and find the land of hernia. there, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil white witch, ladies. aided by the wise and magnificent lion, alan, the children lead hernia into a spectacular, climactic battle to be free of the witch's facial powers forever.","the chronicles of narnia: the lion, the witch and the wardrobe"
science fiction,"after the re-emergence of the world's first meant, world-destroyed apocalypse, the x-men must unite to defeat his extinction level plan.",x-men: apocalypse
"drama, action, crime, thriller","batman raises the stakes in his war on crime. with the help of it. jim gordon and district attorney harvey went, batman sets out to dismantled the remaining criminal organizations that plague the streets. the partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastering known to the terrified citizens of gothic as the joke.",the dark knight
"animation, comedy, family, adventure","carl fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. but at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old wilderness explorer named russell) gives him a new lease on life.",up
"animation, family, adventure, science fiction","when susan murphy is unwittingly clambered by a method full of outer space guns on her wedding day, she mysteriously grows to 49-feet-11-inches. the military jumps into action and captures susan, secreting her away to a covert government compound. she is renamed ginormica and placed in confinement with a raging group of monsters...",monsters vs aliens
"action, science fiction, adventure","after being held captive in an afghan cave, millionaire engineer tony stark creates a unique weaponized suit of armor to fight evil.",iron man
"adventure, drama, family","hugo is an orphan boy living in the walls of a train station in 1930s paris. he learned to fix clocks and other badges from his father and uncle which he puts to use keeping the train station clocks running. the only thing that he has left that connect him to his dead father is an automatic (mechanical man) that does not work without a special key which hugo needs to find to clock the secret he believes it contains. on his adventures, he meets with a shopkeeper, george series, who works in the train station and his adventure-seeking god-daughter. hugo finds that they have a surprising connection to his father and the automatic, and he discovers it unlocked some memories the old man has buried inside regarding his past.",hugo
"action, adventure, comedy, science fiction, western",lawless southern inventor dr. armies hopeless plans to kindle the civil war by assassination president u.s. grant. only two men can stop him: gunfighter james west and master-of-disguise and inventor artemus gordon. the two must team up to thwart hopeless' plans.,wild wild west
"adventure, action, fantasy","archaeologist rich o'cornell travels to china, pitting him against an emperor from the 2,000-year-old had dynasty who is returned from the dead to pursue a quest for world domination. this time, o'cornell enlist the help of his wife and son to quasi the so-called 'dragon emperor' and his abuse of supernatural power.",the mummy: tomb of the dragon emperor
"action, adventure, crime, fantasy, science fiction","from do comic comes the suicide squad, an antihero team of incarcerated supervillains who act as enable asset for the united states government, undertaking high-risk black op missions in exchange for commuted prison sentences.",suicide squad
"fantasy, comedy, family",god contact congressmen even baxter and tells him to build an ark in preparation for a great flood.,evan almighty
"action, science fiction","major bill cage is an officer who has never seen a day of combat when he is ceremoniously devoted and dropped into combat. cage is killed within minutes, managing to take an alpha alien down with him. he awaken back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",edge of tomorrow
"adventure, action","in a futuristic world where the polar ice caps have melted and made earth a liquid planet, a beautiful barmaid rescue a meant seafarer from a floating island prison. they escape, along with her young charge, knoll, and sail off aboard his ship. but the trip soon becomes the target of a menacing pirate who covers the map to 'maryland' – which is tattooed on knoll's back.",waterworld
"adventure, action, thriller, science fiction","from the egyptian desert to deep below the polar ice caps, the elite g.i. joe team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer destroy and the growing threat of the mysterious court organization to prevent them from plunging the world into chaos.",g.i. joe: the rise of cobra
"drama, comedy, animation, family","growing up can be a bump road, and it is no exception for ripley, who is promoted from her midst life when her father starts a new job in san francisco. like all of us, ripley is guided by her emotions - joy, fear, anger, disgust and sadness. the emotions live in headquarters, the control center inside ripley's mind, where they help advise her through everyday life. as ripley and her emotions struggle to adjust to a new life in san francisco, turmoil ensues in headquarters. although joy, ripley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigable a new city, house and school.",inside out
"family, adventure, drama, fantasy","after a threat from the tiger there khan forces him to flee the jungle, a man-cub named mowgli embark on a journey of self discovery with the help of another, bagheera, and free spirited bear, also.",the jungle book
"adventure, action, science fiction","with the world now aware of his dual life as the armed superhero iron man, millionaire inventor tony stark faces pressure from the government, the press and the public to share his technology with the military. unwilling to let go of his invention, stark, with pepper ports and james 'rhode' rhodes at his side, must forge new alliances – and confront powerful enemies.",iron man 2
"adventure, fantasy, drama","after the evil queen marries the king, she perform a violent coup in which the king is murdered and his daughter, snow white, is taken captive. almost a decade later, a grown snow white is still in the clutches of the queen. in order to obtain immortality, the evil queen needs the heart of snow white. after snow escapes the castle, the queen sends the huntsman to find her in the dark forest.",snow white and the huntsman
"fantasy, adventure, action, family, romance","the untold story of dinner's most ironic villain from the 1959 classic 'sleeping beauty'. a beautiful, pure-hearted young woman, maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  maleficent rises to be the land's fiercely protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. bent on revenge, maleficent faces an epic battle with the invading king's successor and, as a result, places a curse upon his newton infant aroma. as the child grows, maleficent realizes that aroma holds the key to peace in the kingdom - and to maleficent's true happiness as well.",maleficent
"science fiction, action, drama, thriller","a group of scientists in san francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while caesar tries to maintain dominance over his community of intelligent apes.",dawn of the planet of the apes
"action, adventure, science fiction, romance","the lovers is an epic romance time travel adventure film. helped by poland off from a story by they jhankar, the film is a sweeping tale of an impossible love set against the backdrop of the first anglo-martha war across two time periods and continents and centred around four characters — a british officer in with century colonial india, the indian woman he falls deeply in love with, an american present-day marine biologist and his wife.",the lovers
"drama, action, adventure, fantasy","based on the original 1941 movie from japan, and from ancient japan’s most enduring tale, the epic d fantasy-adventure 47 robin is born.  means nerves leads the cast as ai, an outcast who joins wish (hiroyuki canada), the leader of the 47 outcast samurai.  together they seek vengeance upon the treacherous overland who killed their master and banished their kind.  to restore honor to their holland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",47 ronin
"action, adventure, science fiction","after the cataclysm events in new york with the avenues, steve rogers, ak captain america is living quietly in washington, d.c. and trying to adjust to the modern world. but when a s.h.i.e.l.d. colleague comes under attack, steve becomes embroiled in a web of intrigue that threatens to put the world at risk. joining forces with the black widow, captain america struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. when the full scope of the villains plot is revealed, captain america and the black widow enlist the help of a new ally, the falcon. however, they soon find themselves up against an unexpected and formidable enemy—the winter soldier.",captain america: the winter soldier
"comedy, adventure, fantasy, animation, family","a bored and domesticated shriek parts with deal-maker rumpelstiltskin to get back to feeling like a real ore again, but when he is dumped and sent to a twisted version of far far away—where rumpelstiltskin is king, ores are hunted, and he and front have never met—he sets out to restore his world and reclaim his true love.",shrek forever after
"adventure, family, mystery, science fiction","bound by a shared destiny, a bright, optimistic been bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to earth the secrets of an enigmatical place somewhere in time and space that exists in their collective memory as ""tomorrowland.""",tomorrowland
"adventure, family, animation, action, comedy","the special bond that develops between plus-sized inflammable root layman, and prodigy hero canada, who team up with a group of friends to form a band of high-teach heroes.",big hero 6
"family, animation, comedy, adventure","wreck-it ralph is the 9-foot-tall, 643-pound villain of an arcade video game named fix-it felix jr., in which the game's tubular hero fixes buildings that ralph destroys. wanting to prove he can be a good guy and not just a villain, ralph escapes his game and lands in hero's duty, a first-person shorter where he helps the game's hero battle against alien invaders. he later enters sugar rush, a part racing game set on tracks made of candles, colonies and other sweets. there, ralph meets vanellope von schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that ralph may have inadvertently started.",wreck-it ralph
"adventure, animation, family, fantasy","when a doubting young boy takes an extraordinary train ride to the north pole, he embark on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",the polar express
"action, adventure, science fiction","we always knew they were coming back. using recovered alien technology, the nations of earth have collaborated on an immense defense program to protect the planet. but nothing can prepare us for the aliens’ advanced and unprecedented force. only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",independence day: resurgence
"fantasy, adventure, animation, family","as the son of a liking leader on the cusp of manhood, shy hiccup horrendous braddock iii faces a rite of passage: he must kill a dragon to prove his warrior mettle. but after owning a feared dragon, he realizes that he no longer wants to destroy it, and instead befriend the beast – which he names toothless – much to the chagrin of his warrior father",how to train your dragon
"action, thriller, science fiction","it is been 10 years since john cannot saved earth from judgment day, and he is now living under the rear, sneering clear of using anything stylet can trace. that is, until he encounters t-x, a robotic assassin ordered to finish what t-1000 started. good thing cannot's former genesis, the termination, is back to aid the now-adult cannot … just like he promised.",terminator 3: rise of the machines
"action, science fiction, adventure","light years from earth, 26 years after being abducted, peter quill finds himself the prime target of a manhunt after discovering an orb wanted by roman the accuser.",guardians of the galaxy
"adventure, drama, science fiction",interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surplus the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,interstellar
"action, thriller, science fiction, mystery, adventure","cobb, a skilled thief who commits corporate espionage by infiltration the unconscious of his target is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's unconscious.",inception
"action, adventure, drama, horror, science fiction","from the mind behind evangelion comes a hit larger than life.  when a massive, killed monster emerges from the deep and tears through the city, the government scrambled to save its citizens.  a rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  but time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.",shin godzilla
"adventure, fantasy, action","bill bagging, a habit enjoying his quiet life, is swept into an epic quest by gandalf the grey and thirteen waves who seek to reclaim their mountain home from small, the dragon.",the hobbit: an unexpected journey
"action, crime, thriller","domestic toretto is a los angeles street race suspected of masterminding a series of big-fig hijackings. when undercover cop brian o'corner infiltrates toretto's iconoclastic crew, he falls for toretto's sister and must choose a side: the gang or the land.",the fast and the furious
"fantasy, drama, thriller, mystery, romance","tells the story of benjamin button, a man who starts raging backwards with bizarre consequences.",the curious case of benjamin button
"action, science fiction, adventure","before charles easier and erie lensherr took the names professor x and magnet, they were two young men discovering their powers for the first time. before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",x-men: first class
"action, adventure, science fiction","with the nation of panel in a full scale war, katniss confront president snow in the final showdown. termed with a group of her closest friends – including gale, finnish, and petya – katniss goes off on a mission with the unit from district 13 as they risk their lives to stage an assassination attempt on president snow who has become increasingly obsessed with destroying her. the mortal traps, enemies, and moral choice that await katniss will challenge her more than any arena she faced in the hunger games.",the hunger games: mockingjay - part 2
"fantasy, adventure, action, comedy, drama","balthazar blame is a master sorcerer in modern-day manhattan trying to defend the city from his arch-genesis, maxim horvath. balthazar cannot do it alone, so he recruits dave sutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protege. the sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",the sorcerer's apprentice
"adventure, action, drama, thriller","a packed cruise ship traveling the atlantic is hit and overturned by a massive wave, compelling the passengers to begin a dramatic fight for their lives.",poseidon
fantasy,"in the sequel to tim button's ""alice in wonderland"", alice kingsleigh returns to understand and faces a new adventure in saving the mad matter.",alice through the looking glass
"fantasy, adventure, animation, comedy, family","the king of far far away has died and shriek and front are to become king &amp; queen. however, shriek wants to return to his copy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom.",shrek the third
"action, adventure, fantasy","the peaceful realm of azeroth stands on the brink of war as its civilization faces a wearisome race of invaders: or warriors fleeing their dying home to colonies another. as a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. from opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",warcraft
